Time_s,EC_true,R_soil_true_Ohm,I_true_A,I_meas_A,I_comp_A,EC_raw,EC_est,Error_raw,Error_comp
16.164,1e-05,10000,9.99999684869674e-05,9.59360486342939e-05,6.57727073513099e-05,9.59360582923817e-06,6.57724885159347e-06,-4.06394170761829e-07,-3.42275114840653e-06
16.165,1e-05,10000,9.99999684869674e-05,9.55128110644061e-05,6.5787240670631e-05,9.5512740635172e-06,6.57869854012936e-06,-4.48725936482801e-07,-3.42130145987064e-06
16.166,1e-05,10000,9.99999684869674e-05,9.58100108763695e-05,6.58009151151631e-05,9.58096306089457e-06,6.58006314013843e-06,-4.19036939105429e-07,-3.41993685986157e-06
16.167,1e-05,10000,9.99999684869674e-05,9.79943041539989e-05,6.58157056498527e-05,9.79938368390412e-06,6.5815397544497e-06,-2.00616316095884e-07,-3.4184602455503e-06
16.168,1e-05,10000,9.99999684869674e-05,9.64901503927916e-05,6.58301292018416e-05,9.64897867565843e-06,6.58298036941576e-06,-3.51021324341566e-07,-3.41701963058424e-06
16.169,1e-05,10000,9.99999684869674e-05,9.54631084937902e-05,6.58436534597365e-05,9.54630174811162e-06,6.5843317365001e-06,-4.53698251888378e-07,-3.4156682634999e-06
16.17,1e-05,10000,9.99999684869674e-05,9.60123772285327e-05,6.58575047886497e-05,9.60121020604625e-06,6.58571636031503e-06,-3.98789793953748e-07,-3.41428363968497e-06
16.171,1e-05,10000,9.99999684869674e-05,9.7711354095885e-05,6.58715179511598e-05,9.77113479163174e-06,6.58711775426058e-06,-2.28865208368262e-07,-3.41288224573942e-06
16.172,1e-05,10000,9.99999684869674e-05,9.77615236986007e-05,6.58853780618676e-05,9.77613764023685e-06,6.58850442897883e-06,-2.23862359763149e-07,-3.41149557102117e-06
16.173,1e-05,10000,9.99999684869674e-05,9.77769283057415e-05,6.58991013357272e-05,9.77767257488848e-06,6.58987798878914e-06,-2.22327425111518e-07,-3.41012201121086e-06
16.174,1e-05,10000,9.99999684869674e-05,9.76546441591433e-05,6.59122693609065e-05,9.76544180004883e-06,6.5911965123999e-06,-2.34558199951166e-07,-3.4088034876001e-06
16.175,1e-05,10000,9.99999684869674e-05,9.58124450477346e-05,6.59257632095073e-05,9.58120698631706e-06,6.59254820842433e-06,-4.18793013682946e-07,-3.40745179157567e-06
16.176,1e-05,10000,9.99999684869674e-05,9.84654061447296e-05,6.5940014107371e-05,9.84649580655216e-06,6.59397634109818e-06,-1.53504193447841e-07,-3.40602365890182e-06
16.177,1e-05,10000,9.99999684869674e-05,9.23735982838791e-05,6.5952926411731e-05,9.23733180906999e-06,6.59527086300533e-06,-7.62668190930015e-07,-3.40472913699467e-06
16.178,1e-05,10000,9.99999684869674e-05,9.58987231850868e-05,6.59666021432255e-05,9.58986084535752e-06,6.59664247658982e-06,-4.1013915464248e-07,-3.40335752341018e-06
16.179,1e-05,10000,9.99999684869674e-05,9.68919609086179e-05,6.59807577494311e-05,9.68917160373593e-06,6.59806282043804e-06,-3.1082839626407e-07,-3.40193717956196e-06
16.18,1e-05,10000,9.99999684869674e-05,9.84032912577598e-05,6.59943066117253e-05,9.8402797737234e-06,6.5994228578672e-06,-1.59720226276601e-07,-3.4005771421328e-06
16.181,1e-05,10000,9.99999684869674e-05,9.62580681765683e-05,6.60086794536878e-05,9.62576968315885e-06,6.60086621953369e-06,-3.74230316841154e-07,-3.39913378046631e-06
16.182,1e-05,10000,9.99999684869674e-05,9.63949124915183e-05,6.60229878282179e-05,9.63948563093983e-06,6.60229588241243e-06,-3.60514369060172e-07,-3.39770411758757e-06
16.183,1e-05,10000,9.99999684869674e-05,9.74237310283838e-05,6.60373225513803e-05,9.74232925306504e-06,6.60372343062458e-06,-2.57670746934958e-07,-3.39627656937542e-06
16.184,1e-05,10000,9.99999684869674e-05,9.94389386335555e-05,6.60513432367066e-05,9.9438606710152e-06,6.60512030215253e-06,-5.61393289847992e-08,-3.39487969784747e-06
16.185,1e-05,10000,9.99999684869674e-05,9.54045862694094e-05,6.60651686105318e-05,9.54042944522519e-06,6.60649829371024e-06,-4.59570554774806e-07,-3.39350170628976e-06
16.186,1e-05,10000,9.99999684869674e-05,9.64399212610598e-05,6.60790173666217e-05,9.64396964885254e-06,6.60787919235248e-06,-3.56030351147463e-07,-3.39212080764752e-06
16.187,1e-05,10000,9.99999684869674e-05,9.7253341226887e-05,6.60929211673348e-05,9.72532990150886e-06,6.60926616049235e-06,-2.74670098491142e-07,-3.39073383950765e-06
16.188,1e-05,10000,9.99999684869674e-05,9.7509426456226e-05,6.61063319500419e-05,9.75089389800917e-06,6.61060449956366e-06,-2.49106101990826e-07,-3.38939550043634e-06
16.189,1e-05,10000,9.99999684869674e-05,9.69738075404419e-05,6.61204013420666e-05,9.69733728552339e-06,6.61200914776077e-06,-3.02662714476607e-07,-3.38799085223923e-06
16.19,1e-05,10000,9.99999684869674e-05,9.78162914952262e-05,6.61331689168392e-05,9.78159696344956e-06,6.61328434295175e-06,-2.18403036550438e-07,-3.38671565704825e-06
16.191,1e-05,10000,9.99999684869674e-05,9.43597304108849e-05,6.61476832568774e-05,9.43592680863212e-06,6.61473459847357e-06,-5.64073191367882e-07,-3.38526540152643e-06
16.192,1e-05,10000,9.99999684869674e-05,9.62668822933939e-05,6.61614578242773e-05,9.62665308460502e-06,6.6161115251822e-06,-3.7334691539498e-07,-3.38388847481781e-06
16.193,1e-05,10000,9.99999684869674e-05,9.56780134894071e-05,6.61745815928473e-05,9.56775433147828e-06,6.61742393041355e-06,-4.32245668521716e-07,-3.38257606958645e-06
16.194,1e-05,10000,9.99999684869674e-05,9.82819901768809e-05,6.61884656988161e-05,9.82816339223985e-06,6.6188129379404e-06,-1.71836607760154e-07,-3.3811870620596e-06
16.195,1e-05,10000,9.99999684869674e-05,9.69089192286223e-05,6.62025541445618e-05,9.69086237318032e-06,6.62022298440297e-06,-3.09137626819683e-07,-3.37977701559703e-06
16.196,1e-05,10000,9.99999684869674e-05,9.42798189262298e-05,6.62168779546571e-05,9.42794848718419e-06,6.62165720343367e-06,-5.72051512815815e-07,-3.37834279656633e-06
16.197,1e-05,10000,9.99999684869674e-05,9.75222733155334e-05,6.62311821565116e-05,9.75217914781783e-06,6.62309007940739e-06,-2.47820852182172e-07,-3.37690992059261e-06
